Resolution,Date,Subject,Mentions,WikiText,WikiLink,topicID
35,October 3 1947,The Indonesian question,"[' 207 Code S/574 ( Document ) Subject The Indonesian question Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Belgium Brazil Colombia Poland Syria United Nations Security Council Resolution 35 , adopted on October 3, 1947, asked that the Secretary-General convene and arrange the work schedule for the committee of three arranged for in United Nations Security Council Resolution 31 as soon as possible']","UN Security Council Resolution 35 Date October 3 1947 Meeting no. 207 Code S/574 ( Document ) Subject The Indonesian question Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Belgium Brazil Colombia Poland Syria United Nations Security Council Resolution 35 , adopted on October 3, 1947, asked that the Secretary-General convene and arrange the work schedule for the committee of three arranged for in United Nations Security Council Resolution 31 as soon as possible. The resolution passed with nine votes in favour and two abstentions from Poland and the Soviet Union . See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_35,93
44,April 1 1948,The Palestine question,"[' 277 Code S/714, II ( Document ) Subject The Palestine question Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Belgium Canada Colombia Syria Ukrainian SSR United Nations Security Council Resolution 44 , adopted on 1 April 1948, having received the reports requested in United Nations Security Council Resolution 42 , the Council requested the Secretary-General convoke a special session of the General Assembly to consider further the question of the future government of Palestine ']","UN Security Council Resolution 44 Date April 1 1948 Meeting no. 277 Code S/714, II ( Document ) Subject The Palestine question Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Belgium Canada Colombia Syria Ukrainian SSR United Nations Security Council Resolution 44 , adopted on 1 April 1948, having received the reports requested in United Nations Security Council Resolution 42 , the Council requested the Secretary-General convoke a special session of the General Assembly to consider further the question of the future government of Palestine . The resolution was adopted with two abstentions from the Ukrainian SSR and the Soviet Union . See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_44,100
52,June 22 1948,Atomic Energy: International Control,"[' 325 Code S/852 ( Document ) Subject Atomic Energy: International Control Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Belgium Canada Colombia Syria Ukrainian SSR United Nations Security Council Resolution 52 , adopted on June 22, 1948, having received the first, second and third reports of the Atomic Energy Commission the Council directed the Secretary-General to transmit the second and third reports, along with a record of the Council deliberations on them, to the General Assembly and the Member States ']","UN Security Council Resolution 52 Date June 22 1948 Meeting no. 325 Code S/852 ( Document ) Subject Atomic Energy: International Control Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Belgium Canada Colombia Syria Ukrainian SSR United Nations Security Council Resolution 52 , adopted on June 22, 1948, having received the first, second and third reports of the Atomic Energy Commission the Council directed the Secretary-General to transmit the second and third reports, along with a record of the Council deliberations on them, to the General Assembly and the Member States . The resolution passed with nine votes to none; the Ukrainian SSR and Soviet Union abstained. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_52,10
54,July 15 1948,The Palestine Question,"['  The Resolution instructed the United Nations Mediator to continue his efforts to de-militarize the City of Jerusalem and assure safe access to it, to examine the alleged breaches of the earlier truces established by the Council and to that end requested the Secretary-General provide him with the necessary staff, funding and facilities needed to carry out his tasks']","UN Security Council Resolution 54 Date July 15 1948 Meeting no. 338 Code S/902 ( Document ) Subject The Palestine Question Voting summary 7 voted for 1 voted against 3 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Belgium Canada Colombia Syria Ukrainian SSR United Nations Security Council Resolution 54 , adopted on 15 July 1948, determined that the situation in Palestine constitutes a threat to the peace within the meaning of Article 39 of the Charter of the United Nations .  The resolution ordered all governments and authorities concerned to desist from further military action and to issue a cease-fire to their military and paramilitary forces to take effect at a time to be determined by the mediator in the next three days. It also declared that failure to comply with these orders would demonstrate the existence of a breach of the peace within the meaning of article 39 of the Charter and would require immediate consideration by the Council. The Resolution further ordered that as a matter of special necessity an immediate and unconditional cease-fire in the City of Jerusalem take place the next day.  The Resolution instructed the United Nations Mediator to continue his efforts to de-militarize the City of Jerusalem and assure safe access to it, to examine the alleged breaches of the earlier truces established by the Council and to that end requested the Secretary-General provide him with the necessary staff, funding and facilities needed to carry out his tasks. The resolution was passed with seven votes in favour. Syria voted against the resolution while Argentina , the Ukrainian SSR and Soviet Union abstained from the vote. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_54,99
57,18-Sep-48,The Palestine Question,"[' Shocked by the death of Count Folke Bernadotte , the United Nations Mediator in Palestine , the Council requested that the Secretary-General keep the flag of the United Nations at half-mast for three days, authorized him to meet from the Working Capital Fund all the expenses connected with the assassination of the United Nations Mediator and to be represented at the interment by the President of the person whom he may appoint for the occasion']","UN Security Council Resolution 57 Folke Bernadotte Date 18 September 1948 Meeting no. 358 Code S/RES/57 ( Document ) Subject The Palestine Question Voting summary 11 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Belgium Canada Colombia Syria Ukrainian SSR United Nations Security Council Resolution 57 was adopted unanimously on September 18, 1948. Shocked by the death of Count Folke Bernadotte , the United Nations Mediator in Palestine , the Council requested that the Secretary-General keep the flag of the United Nations at half-mast for three days, authorized him to meet from the Working Capital Fund all the expenses connected with the assassination of the United Nations Mediator and to be represented at the interment by the President of the person whom he may appoint for the occasion. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_57,99
70,March 7 1949,Trusteeship of strategic areas,"[' 415 Code S/1280 ( Document ) Subject Trusteeship of strategic areas Voting summary 8 voted for None voted against 3 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Canada Cuba Egypt Norway Ukrainian SSR United Nations Security Council Resolution 70 , adopted on March 7, 1949, requested that the Secretary-General inform the Council of  all reports and petitions received from or relating to strategic areas under trusteeship and requested that the Trusteeship Council submit to the Council its reports and recommendations for political, economic, social and educational matters affecting strategic areas under trusteeship']","UN Security Council Resolution 70 Date March 7 1949 Meeting no. 415 Code S/1280 ( Document ) Subject Trusteeship of strategic areas Voting summary 8 voted for None voted against 3 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Canada Cuba Egypt Norway Ukrainian SSR United Nations Security Council Resolution 70 , adopted on March 7, 1949, requested that the Secretary-General inform the Council of  all reports and petitions received from or relating to strategic areas under trusteeship and requested that the Trusteeship Council submit to the Council its reports and recommendations for political, economic, social and educational matters affecting strategic areas under trusteeship. The resolution was approved with eight votes to none, with Egypt , the Ukrainian SSR and Soviet Union abstaining. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_70,153
73,August 11 1949,The Palestine Question,"['  The Resolution went on to relieve the Action Mediator in Palestine , as his duties had been fulfilled, and requested the Secretary-General arrange for the continued service of the personnel of the present Truce Supervision Organization as may be required in observing and maintaining the cease-fires and Armistices']","UN Security Council Resolution 73 Date August 11 1949 Meeting no. 437 Code S/1376, II ( Document ) Subject The Palestine Question Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Canada Cuba Egypt Norway Ukrainian SSR United Nations Security Council Resolution 73 , adopted on August 11 , 1949 , noted with satisfaction the Armistice Agreements between the parties involved in the 1948 conflict in Palestine and then expressed the hope that a final settlement of all questions outstanding between the parties might be achieved soon.  The Resolution went on to relieve the Action Mediator in Palestine , as his duties had been fulfilled, and requested the Secretary-General arrange for the continued service of the personnel of the present Truce Supervision Organization as may be required in observing and maintaining the cease-fires and Armistices.  The Resolution also requested that the Chief of Staff of the TSO report to the Council on the observance of the cease-fire . The resolution was adopted nine votes to none; the Ukrainian SSR and Soviet Union abstained. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_73,99
74,September 16 1949,Atomic energy: international control,"[' 447 Code S/1393 ( Document ) Subject Atomic energy: international control Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Canada Cuba Egypt Norway Ukrainian SSR United Nations Security Council Resolution 74 , adopted on September 16, 1949, having received and examined a letter from the Chairman of the Atomic Energy Commission transmitting two resolutions, the Council directed the Secretary-General to transmit this letter and the accompanying resolutions, along with records of the discussion of this question in the AEC to the General Assembly and to the Member States of the UN']","UN Security Council Resolution 74 Date September 16 1949 Meeting no. 447 Code S/1393 ( Document ) Subject Atomic energy: international control Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Canada Cuba Egypt Norway Ukrainian SSR United Nations Security Council Resolution 74 , adopted on September 16, 1949, having received and examined a letter from the Chairman of the Atomic Energy Commission transmitting two resolutions, the Council directed the Secretary-General to transmit this letter and the accompanying resolutions, along with records of the discussion of this question in the AEC to the General Assembly and to the Member States of the UN. The resolution passed by nine votes in favour, with abstentions from the Ukrainian SSR and Soviet Union . See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_74,11
76,October 5 1949,Future costs of UN military observers in Indonesia,"[' 449 Code S/1404 ( Document ) Subject Future costs of UN military observers in Indonesia Voting summary 9 voted for 1 voted against 1 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Canada Cuba Egypt Norway Ukrainian SSR United Nations Security Council Resolution 76 , adopted on October 5, 1949, after receiving a cablegram from the Consular Commission at Batavia to the President of the Security Council requesting that the United Nations assume future costs of military observers in Indonesia the Council transmitted the message to the Secretary-General ']","UN Security Council Resolution 76 Date October 5 1949 Meeting no. 449 Code S/1404 ( Document ) Subject Future costs of UN military observers in Indonesia Voting summary 9 voted for 1 voted against 1 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Canada Cuba Egypt Norway Ukrainian SSR United Nations Security Council Resolution 76 , adopted on October 5, 1949, after receiving a cablegram from the Consular Commission at Batavia to the President of the Security Council requesting that the United Nations assume future costs of military observers in Indonesia the Council transmitted the message to the Secretary-General . The resolution was adopted by nine votes to one ( Ukrainian SSR ) and one abstention from the Soviet Union . See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_76,35
77,October 11 1949,Armaments: regulation and reduction,"[' 450 Code S/1403 ( Document ) Subject Armaments: regulation and reduction Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Canada Cuba Egypt Norway Ukrainian SSR United Nations Security Council Resolution 77 , adopted on 11 October 1949, having received and examined the second progress report of the Commission for Conventional Armaments , the Council directed the Secretary-General to transmit the report, along with its annexes, accompanying resolution and a record of the Council ’s consideration of the subject to the General Assembly for its information']","UN Security Council Resolution 77 Date October 11 1949 Meeting no. 450 Code S/1403 ( Document ) Subject Armaments: regulation and reduction Voting summary 9 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Argentina Canada Cuba Egypt Norway Ukrainian SSR United Nations Security Council Resolution 77 , adopted on 11 October 1949, having received and examined the second progress report of the Commission for Conventional Armaments , the Council directed the Secretary-General to transmit the report, along with its annexes, accompanying resolution and a record of the Council ’s consideration of the subject to the General Assembly for its information. The resolution was adopted with nine votes in favour and two abstentions from the Ukrainian SSR and Soviet Union . See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_77,7
